player;age;height;nationality;position;value;games;minutes;goals;assists;crosses;tackles;pressures;blocks;touches;fouls;fouled;offsides;own goals;ball recoveries;saves;squad;Season;league;Attendance;games starts;passes completed;sca;gca;dribbles completed;pens won;goals against gk;shots on target against;CLBestScorer;cards yellow;shots total;LgRk;MP;W;D;L;GF;GA;Pts;CL;WinCL
Richarlison;22;184;Brazil;Forward;60000000;36;3070;13;3;35;68;710;34;1375;43;72;17;0;223;0;Everton;01/01/2019;Premier League;28848;36;543;81;10;66;0;0;0;No;8;91;12;38;13;10;15;44;56;49;No;No
Richairo Živković;22;187;Netherlands;Forward;650;5;112;0;0;1;2;39;1;31;1;1;0;0;2;0;Sheffield Utd;01/01/2019;Premier League;24370;0;16;2;0;1;0;0;0;No;0;1;9;38;14;12;12;39;39;54;No;No
Riccardo Sottil;20;180;Italy;Forward;3000000;18;514;0;0;18;5;72;9;296;11;26;2;0;31;0;Fiorentina;01/01/2019;Serie A;22486;4;160;23;4;18;0;0;0;No;3;16;10;38;12;13;13;51;48;49;No;No
Riccardo Saponara;27;184;Italy;Midfield;2000000;4;168;0;0;4;4;30;1;105;2;0;0;0;17;0;Genoa;01/01/2019;Serie A;14016;2;62;8;0;4;0;0;0;No;1;5;17;38;10;9;19;47;73;39;No;No
Riccardo Saponara;27;184;Italy;Midfield;2000000;13;947;2;4;36;10;113;6;634;9;17;3;0;73;0;Lecce;01/01/2019;Serie A;15939;11;392;57;6;20;1;0;0;No;2;26;18;38;9;8;21;52;85;35;No;No
Riccardo Orsolini;22;183;Italy;Forward;20000000;37;2681;8;6;100;35;508;40;1570;40;76;14;0;209;0;Bologna;01/01/2019;Serie A;15774;32;687;111;12;72;3;0;0;No;3;90;12;38;12;11;15;52;65;47;No;No
Riccardo Ladinetti;18;182;Italy;Midfield;35000;3;127;0;0;2;2;19;2;83;1;1;0;0;10;0;Cagliari;01/01/2019;Serie A;10728;1;59;4;0;0;0;0;0;No;0;0;14;38;11;12;15;52;56;45;No;No
Riccardo Gagliolo;29;180;Sweden;Defender;2000000;32;2604;3;2;56;60;340;75;1686;32;38;2;0;233;0;Parma;01/01/2019;Serie A;10245;31;1020;47;7;16;0;0;0;No;7;31;11;38;14;7;17;56;57;49;No;No
Ricardo Rodríguez;26;180;Switzerland;Defender;5000000;5;386;0;0;8;8;51;10;324;3;3;0;0;40;0;Milan;01/01/2019;Serie A;34078;5;242;5;0;0;0;0;0;No;0;1;6;38;19;9;10;63;46;66;No;No
Ricardo Pereira;25;175;Portugal;Defender;32000000;28;2520;3;2;41;122;563;59;2330;44;37;0;0;227;0;Leicester City;01/01/2019;Premier League;25312;28;1513;60;9;59;0;0;0;No;1;17;5;38;18;8;12;67;41;62;No;No
Rene Krhin;29;189;Slovenia;Defender;1000000;8;327;0;0;0;4;32;4;195;2;3;0;0;53;0;Nantes;01/01/2019;Ligue 1;24635;4;137;1;1;0;0;0;0;No;0;1;13;28;11;4;13;28;31;37;No;No
Renaud Ripart;26;181;France;Forward;3000000;24;2027;4;2;22;32;428;31;972;23;48;7;0;149;0;Nîmes;01/01/2019;Ligue 1;12555;23;427;39;2;27;0;0;0;No;0;48;18;28;7;6;15;29;44;27;No;No
Renaud Emond;27;186;Belgium;Forward;3000000;6;292;0;0;0;5;79;5;113;4;6;0;0;14;0;Nantes;01/01/2019;Ligue 1;24635;3;53;6;1;2;0;0;0;No;1;4;13;28;11;4;13;28;31;37;No;No
Renaud Cohade;34;181;France;Midfield;40000;12;764;1;0;14;30;269;17;674;20;4;1;0;85;0;Metz;01/01/2019;Ligue 1;16583;9;480;20;1;4;0;0;0;No;3;8;15;28;8;10;10;27;35;34;No;No
Renato Steffen;27;170;Switzerland;Midfield;4000000;27;1585;6;3;32;27;397;32;939;33;29;4;0;150;0;Wolfsburg;01/01/2019;Bundesliga;18621;19;550;47;8;34;0;0;0;;6;29;7;34;13;10;11;48;46;49;No;No
Renato Sanches;21;176;Portugal;Midfield;16000000;1;6;0;0;1;32;413;25;10;0;1;0;0;0;0;Bayern Munich;01/01/2019;Bundesliga;57353;0;816;0;0;0;0;0;0;No;0;31;1;34;26;4;4;100;32;82;Yes;No
Renato Sanches;21;176;Portugal;Midfield;16000000;19;1483;3;1;36;0;1;0;1230;34;27;2;0;169;0;Lille;01/01/2019;Ligue 1;36404;16;7;64;4;48;0;0;0;No;3;0;4;28;15;4;9;35;27;49;No;No
Renan Lodi;21;178;Brazil;Defender;31000000;32;2396;1;2;80;72;363;63;1569;42;44;11;0;225;0;Atlético Madrid;01/01/2019;La Liga;42236;28;926;31;2;14;0;0;0;No;6;16;3;38;18;16;4;51;27;70;Yes;No
Remo Freuler;27;180;Switzerland;Midfield;20000000;31;2337;2;2;25;63;590;60;1941;40;35;0;0;283;0;Atalanta;01/01/2019;Serie A;11167;28;1465;65;7;21;0;0;0;No;3;19;3;38;23;9;6;98;48;78;Yes;No
Remi Oudin;22;185;France;Forward;7000000;8;562;1;1;12;9;107;18;353;6;4;5;0;53;0;Bordeaux;01/01/2019;Ligue 1;23430;5;184;9;1;10;0;0;0;No;0;12;12;28;9;10;9;40;34;37;No;No
Remi Oudin;22;185;France;Forward;7000000;18;1397;3;2;36;14;230;26;628;14;6;6;0;94;0;Reims;01/01/2019;Ligue 1;12932;16;297;32;3;13;0;0;0;No;1;35;6;28;10;11;7;26;21;41;No;No
Reiss Nelson;19;175;United Kingdom;Forward;12000000;17;631;1;0;12;12;164;13;328;8;8;4;0;34;0;Arsenal;01/01/2019;Premier League;47589;7;186;21;1;16;0;0;0;No;1;11;8;38;14;14;10;56;48;56;No;No
Reinildo Mandava;25;180;Mozambique;Defender;2000000;16;1110;0;0;21;48;210;27;797;21;21;1;1;123;0;Lille;01/01/2019;Ligue 1;36404;12;523;14;0;12;0;0;0;No;4;2;4;28;15;4;9;35;27;49;No;No
Reece Oxford;20;190;United Kingdom;Midfield;2000000;12;375;0;0;0;8;60;6;135;1;6;0;0;33;0;Augsburg;01/01/2019;Bundesliga;20265;2;61;3;0;0;0;0;0;No;0;2;15;34;9;9;16;45;63;36;No;No
Reece James;19;182;United Kingdom;Defender;22000000;24;1515;0;2;68;42;271;46;1483;22;21;1;0;164;0;Chelsea;01/01/2019;Premier League;32023;16;1055;48;4;28;0;0;0;No;1;18;4;38;20;6;12;69;54;66;Yes;No
Recio;28;183;Spain;Midfield;2000000;25;1570;0;0;15;31;302;21;1049;45;43;1;0;183;0;Leganés;01/01/2019;La Liga;7539;18;744;27;0;14;0;0;0;No;11;23;18;38;8;12;18;30;51;36;No;No
Rayan Philippe;18;177;France;Defender;700;1;30;0;0;0;1;6;2;10;1;0;0;0;2;0;Dijon;01/01/2019;Ligue 1;12707;0;5;2;0;0;0;0;0;No;0;1;16;28;7;9;12;27;37;30;No;No
Rayan Cherki;15;176;France;Midfield;18000000;6;143;0;0;3;2;29;2;87;1;6;0;0;13;0;Lyon;01/01/2019;Ligue 1;47299;1;44;3;1;6;0;0;0;No;0;3;7;28;11;7;10;42;27;40;No;No
Rayan Aït Nouri;18;179;France;Defender;15000000;17;1282;0;2;38;32;224;32;996;11;12;0;0;143;0;Angers;01/01/2019;Ligue 1;9825;16;625;22;4;19;0;0;0;No;3;4;11;28;11;6;11;28;33;39;No;No
Ravel Morrison;26;175;Jamaica;Midfield;60000;1;13;0;0;0;0;3;0;8;1;0;0;0;2;0;Sheffield Utd;01/01/2019;Premier League;24370;0;4;1;0;0;0;0;0;No;0;1;9;38;14;12;12;39;39;54;No;No
Rúnar Alex Rúnarsson;24;186;Iceland;Goalkeeper;1000000;11;901;0;0;0;0;2;0;351;0;2;0;0;45;29;Dijon;01/01/2019;Ligue 1;12707;9;237;3;0;1;0;17;46;No;0;0;16;28;7;9;12;27;37;30;No;No
Rúben Vinagre;20;174;Portugal;Defender;9000000;16;652;0;0;20;25;117;20;470;7;8;0;0;61;0;Wolves;01/01/2019;Premier League;24758;6;257;9;0;18;0;0;0;;1;5;7;38;15;14;9;51;40;59;No;No
Rúben Vezo;25;182;Portugal;Defender;4000000;29;2610;0;0;3;51;194;51;1492;29;26;1;0;274;0;Levante;01/01/2019;La Liga;13196;29;954;18;4;4;1;0;0;No;4;11;12;38;14;7;17;47;53;49;No;No
Rúben Neves;22;180;Portugal;Midfield;40000000;38;3056;2;2;16;64;688;70;2285;29;16;0;0;470;0;Wolves;01/01/2019;Premier League;24758;35;1587;64;5;25;0;0;0;;9;62;7;38;15;14;9;51;40;59;No;No
Raphael Framberger;23;179;Germany;Defender;1000000;18;1175;0;2;15;46;192;35;678;17;9;1;0;130;0;Augsburg;01/01/2019;Bundesliga;20265;12;336;11;2;6;0;0;0;No;3;1;15;34;9;9;16;45;63;36;No;No
Raphael Dias Belloli;22;175;Brazil;Midfield;18000000;22;1690;5;3;45;30;370;34;971;19;32;4;0;138;0;Rennes;01/01/2019;Ligue 1;25893;20;454;94;7;58;0;0;0;No;4;43;3;28;15;5;8;38;24;50;No;No
Raphaël Varane;26;191;France;Defender;64000000;32;2822;3;1;5;33;223;57;1949;22;12;1;0;283;0;Real Madrid;01/01/2019;La Liga;45833;32;1479;11;1;10;0;0;0;No;2;10;1;38;26;9;3;70;25;87;Yes;No
Raphaël Guerreiro;25;170;Portugal;Defender;28000000;29;2335;8;2;45;43;278;45;2417;11;17;0;0;251;0;Dortmund;01/01/2019;Bundesliga;57297;26;1887;66;8;49;0;0;0;No;3;40;2;34;21;6;7;84;41;69;Yes;No
Raoul Bellanova;19;188;Italy;Defender;90000;1;18;0;0;0;0;3;0;15;0;0;0;0;0;0;Atalanta;01/01/2019;Serie A;11167;0;12;0;0;0;0;0;0;No;0;2;3;38;23;9;6;98;48;78;Yes;No
Raoul Bellanova;19;188;Italy;Defender;90000;1;62;0;0;0;2;11;0;36;1;1;0;0;2;0;Bordeaux;01/01/2019;Ligue 1;23430;1;23;0;0;0;0;0;0;No;0;0;12;28;9;10;9;40;34;37;No;No
Rani Khedira;25;188;Germany;Midfield;8000000;32;2649;0;2;6;61;582;53;1169;37;34;0;0;301;0;Augsburg;01/01/2019;Bundesliga;20265;32;637;25;4;8;0;0;0;No;8;10;15;34;9;9;16;45;63;36;No;No
Ramy Bensebaini;24;186;Algeria;Defender;9000000;19;1448;5;3;21;34;209;51;1154;27;24;2;0;154;0;M'Gladbach;01/01/2019;Bundesliga;36078;16;732;23;5;22;0;0;0;No;8;20;4;34;20;5;9;66;40;65;Yes;No
Ramon Azeez;26;170;Niger;Midfield;80000;25;1361;2;0;3;17;330;17;522;29;19;1;0;128;0;Granada;01/01/2019;La Liga;11174;14;316;17;1;3;0;0;0;No;3;19;7;38;16;8;14;52;45;56;No;No
Ramiro Funes Mori;28;186;Argentina;Defender;4000000;7;453;0;0;0;4;34;8;310;7;4;0;0;56;0;Villarreal;01/01/2019;La Liga;11321;5;224;4;0;1;0;0;0;;1;3;5;38;18;6;14;63;49;60;No;No
Ralf Fährmann;30;197;Germany;Goalkeeper;1000000;1;21;0;0;0;0;0;0;12;0;0;0;0;2;1;Norwich City;01/01/2019;Premier League;19913;1;7;0;0;0;0;1;1;No;0;0;20;38;5;6;27;26;75;21;No;No
Raheem Sterling;24;170;United Kingdom;Forward;128000000;33;2651;20;1;63;41;412;25;1636;30;40;12;0;160;0;Manchester City;01/01/2019;Premier League;37097;30;983;117;11;59;3;0;0;No;5;96;2;38;26;3;9;102;35;81;Yes;No
Ragnar Klavan;33;187;Estonia;Defender;1000000;31;2354;0;0;0;37;241;43;1440;24;6;0;1;186;0;Cagliari;01/01/2019;Serie A;10728;26;1072;7;0;5;0;0;0;No;4;4;14;38;11;12;15;52;56;45;No;No
Rafinha;26;174;Brazil;Forward;9500000;3;186;0;0;5;3;14;1;201;3;12;0;0;19;0;Barcelona;01/01/2019;La Liga;54223;2;142;13;0;5;0;0;0;No;0;6;2;38;25;7;6;86;38;82;Yes;No
Rafinha;26;174;Brazil;Midfield;9500000;29;2111;4;1;26;76;508;50;1686;35;97;2;0;261;0;Celta Vigo;01/01/2019;La Liga;11995;25;1138;63;6;56;0;0;0;No;5;32;17;38;7;16;15;37;49;37;No;No
Rafik Guitane;20;164;France;Midfield;2000000;2;16;0;0;0;0;2;0;15;0;0;0;0;2;0;Rennes;01/01/2019;Ligue 1;25893;0;7;1;0;0;0;0;0;No;0;0;3;28;15;5;8;38;24;50;No;No
Raffael;34;174;Brazil;Midfield;700;8;64;0;0;1;0;24;2;65;1;3;0;0;13;0;M'Gladbach;01/01/2019;Bundesliga;36078;0;37;8;0;4;0;0;0;No;0;8;4;34;20;5;9;66;40;65;Yes;No
Rafał Gikiewicz;31;190;Poland;Goalkeeper;1500000;33;2970;0;0;0;0;2;0;1464;2;6;0;0;184;109;Union Berlin;01/01/2019;Bundesliga;15467;33;857;4;0;0;0;54;160;;0;2;11;34;12;5;17;41;58;41;No;No
Rafael Tolói;28;185;Brazil;Defender;12000000;33;2608;2;6;10;69;351;50;1980;36;17;2;0;304;0;Atalanta;01/01/2019;Serie A;11167;29;1363;41;10;16;1;0;0;No;11;27;3;38;23;9;6;98;48;78;Yes;No
Rafael Leão;20;188;Portugal;Forward;20000000;31;1404;6;1;37;8;192;11;652;16;15;6;0;69;0;Milan;01/01/2019;Serie A;34078;12;362;59;7;41;1;0;0;No;0;45;6;38;19;9;10;63;46;66;No;No
Rafael Czichos;29;187;Germany;Defender;1000000;26;2207;1;1;4;49;250;52;1472;25;23;1;1;274;0;Köln;01/01/2019;Bundesliga;35094;26;990;15;3;5;0;0;0;No;4;11;14;34;10;6;18;51;69;36;No;No
Rafael;37;187;Brazil;Goalkeeper;200;6;454;0;0;0;0;0;0;160;0;0;0;0;22;6;Cagliari;01/01/2019;Serie A;10728;5;107;0;0;0;0;11;15;No;0;0;14;38;11;12;15;52;56;45;No;No
Rafael;29;172;Brazil;Defender;5000000;13;700;0;0;9;26;153;18;553;16;12;0;0;73;6;Lyon;01/01/2019;Ligue 1;47299;9;357;10;0;11;0;11;15;No;3;5;7;28;11;7;10;42;27;40;No;No
Rafa Soares;24;178;Portugal;Defender;2000000;6;435;0;0;11;5;55;7;255;5;2;0;0;44;0;Eibar;01/01/2019;La Liga;4151;6;154;8;0;1;0;0;0;No;1;0;14;38;11;9;18;39;56;42;No;No
Radja Nainggolan;31;176;Belgium;Midfield;16000000;26;2071;6;7;49;33;267;28;1448;22;29;0;0;213;0;Cagliari;01/01/2019;Serie A;10728;25;888;93;12;44;0;0;0;No;5;66;14;38;11;12;15;52;56;45;No;No
Rade Krunić;25;184;Bosnia and Herzegovina;Midfield;6500000;15;537;0;1;2;17;116;7;307;11;16;0;0;58;0;Milan;01/01/2019;Serie A;34078;4;197;21;2;8;0;0;0;No;3;6;6;38;19;9;10;63;46;66;No;No
Racine Coly;23;185;Senegal;Defender;2000000;10;649;1;0;6;19;129;9;628;12;8;1;0;70;0;Nice;01/01/2019;Ligue 1;19225;8;466;13;2;7;0;0;0;No;5;6;5;28;11;8;9;41;38;41;No;No
Rachid Ghezzal;27;182;Algeria;Midfield;5000000;19;828;1;0;20;24;207;11;618;22;16;1;0;68;0;Fiorentina;01/01/2019;Serie A;22486;9;406;35;0;16;1;0;0;No;5;11;10;38;12;13;13;51;48;49;No;No
Rachid Alioui;27;186;Morocco;Forward;4000000;28;1563;6;1;14;13;373;4;656;24;34;5;0;67;0;Angers;01/01/2019;Ligue 1;9825;17;342;39;2;23;0;0;0;No;1;58;11;28;11;6;11;28;33;39;No;No
Rabbi Matondo;18;175;United Kingdom;Forward;8000000;20;1162;2;0;12;10;272;9;421;22;17;15;0;68;0;Schalke 04;01/01/2019;Bundesliga;46681;14;163;31;0;32;0;0;0;No;1;24;12;34;9;12;13;38;58;39;No;No
Raúl Navas;31;187;Spain;Defender;1000000;9;711;0;0;0;15;67;19;351;9;4;0;0;92;0;Osasuna;01/01/2019;La Liga;11453;8;218;3;0;5;0;0;0;No;2;0;10;38;13;13;12;46;54;52;No;No
Raúl Jiménez;28;188;Mexico;Forward;40000000;38;3236;17;6;30;29;588;32;1489;40;35;19;0;166;0;Wolves;01/01/2019;Premier League;24758;37;732;87;12;75;2;0;0;;3;114;7;38;15;14;9;51;40;59;No;No
Raúl García;33;0;Spain;Midfield;4500000;35;2869;15;1;35;7;34;10;1366;78;59;18;0;196;0;Athletic Club;01/01/2019;La Liga;28039;33;89;45;4;8;2;0;0;No;11;0;11;38;13;12;13;41;38;51;No;No
Raúl García;30;179;Spain;Defender;800;12;1012;0;1;45;20;146;24;589;7;7;1;0;79;0;Valladolid;01/01/2019;La Liga;13580;12;310;17;3;3;0;0;0;;2;8;13;38;9;15;14;32;43;42;No;No
Raúl de Tomás;24;180;Spain;Forward;16000000;14;1075;4;0;8;7;200;11;434;23;24;7;0;46;0;Espanyol;01/01/2019;La Liga;16260;11;214;28;2;31;1;0;0;No;5;33;20;38;5;10;23;27;58;25;No;No
Raúl Albiol;33;190;Spain;Defender;3000000;36;3237;1;0;4;50;278;40;2261;30;25;2;0;338;0;Villarreal;01/01/2019;La Liga;11321;36;1619;16;1;3;0;0;0;;9;14;5;38;18;6;14;63;49;60;No;No
Rémi Walter;24;174;France;Midfield;1000000;1;53;0;0;0;1;4;1;31;1;1;0;0;3;0;Nice;01/01/2019;Ligue 1;19225;1;24;3;0;1;0;0;0;No;0;0;5;28;11;8;9;41;38;41;No;No
Régis Gurtner;32;182;France;Goalkeeper;1000000;28;2520;0;0;0;0;1;0;897;0;6;0;0;127;92;Amiens;01/01/2019;Ligue 1;11616;28;520;1;0;1;0;50;140;No;0;0;19;28;4;11;13;31;50;23;No;No
Rômulo;32;178;Italy;Midfield;1000000;22;1723;1;3;31;32;344;24;722;27;24;8;0;124;0;Brescia;01/01/2019;Serie A;10050;19;438;38;3;29;0;0;0;No;3;17;19;38;6;7;25;35;79;25;No;No
Quique;29;177;Spain;Forward;800;15;490;0;1;3;2;115;7;192;10;13;3;0;18;0;Eibar;01/01/2019;La Liga;4151;4;88;14;2;3;0;0;0;No;0;9;14;38;11;9;18;39;56;42;No;No
Quini;29;178;Spain;Defender;400;10;718;0;0;11;25;112;12;395;8;6;0;0;79;0;Granada;01/01/2019;La Liga;11174;8;230;12;0;6;0;0;0;No;2;10;7;38;16;8;14;52;45;56;No;No
Quentin Cornette;25;172;France;Forward;30000;13;349;0;2;31;6;96;11;220;6;5;1;0;26;0;Amiens;01/01/2019;Ligue 1;11616;3;77;4;3;9;0;0;0;No;0;2;19;28;4;11;13;31;50;23;No;No
Quentin Boisgard;22;174;France;Midfield;1000000;20;1146;1;1;14;28;274;15;691;17;26;0;0;145;0;Toulouse;01/01/2019;Ligue 1;14200;13;401;38;3;42;0;0;0;;1;18;20;28;3;4;21;22;58;13;No;No
Presnel Kimpembe;23;189;France;Defender;28000000;16;1225;0;0;3;41;124;14;1227;16;18;0;0;155;0;Paris S-G;01/01/2019;Ligue 1;47517;14;1061;7;0;12;0;0;0;No;6;6;1;27;22;2;3;75;24;68;Yes;No
Predrag Rajkovic;23;192;Serbia;Goalkeeper;9000000;27;2430;0;0;0;1;2;0;1067;0;10;0;0;136;65;Reims;01/01/2019;Ligue 1;12932;27;736;2;0;0;0;18;84;No;1;0;6;28;10;11;7;26;21;41;No;No
Portu;27;168;Spain;Forward;16000000;35;2393;7;7;69;38;435;39;926;31;23;21;0;121;0;Real Sociedad;01/01/2019;La Liga;21204;25;456;70;12;10;0;0;0;No;5;40;6;38;16;8;14;56;48;56;No;No
Pol Lozano;19;176;Spain;Midfield;1000000;5;173;0;0;0;5;47;6;105;7;0;0;0;25;0;Espanyol;01/01/2019;La Liga;16260;2;82;1;0;1;0;0;0;No;0;0;20;38;5;10;23;27;58;25;No;No
Pol Lirola;21;183;Spain;Defender;9000000;35;2648;0;2;67;31;244;33;1569;16;7;1;0;228;0;Fiorentina;01/01/2019;Serie A;22486;30;979;68;5;50;0;0;0;No;4;23;10;38;12;13;13;51;48;49;No;No
Pipa;21;175;Spain;Defender;700;7;473;0;0;20;13;80;13;283;6;5;0;0;54;0;Espanyol;01/01/2019;La Liga;16260;5;153;10;0;4;0;0;0;No;3;1;20;38;5;10;23;27;58;25;No;No
Piotr Zielinski;25;180;Poland;Midfield;32000000;37;2924;2;4;39;29;466;53;2354;25;57;1;0;249;0;Napoli;01/01/2019;Serie A;21622;32;1758;131;12;43;0;0;0;No;4;77;7;38;18;8;12;61;50;62;No;No
Pione Sisto;24;172;Denmark;Forward;4000000;21;891;2;0;25;18;161;18;628;9;26;5;0;61;0;Celta Vigo;01/01/2019;La Liga;11995;8;348;29;2;21;0;0;0;No;2;30;17;38;7;16;15;37;49;37;No;No
Pietro Terracciano;29;193;Italy;Goalkeeper;40000;7;624;0;0;0;0;1;0;232;1;2;0;0;40;16;Fiorentina;01/01/2019;Serie A;22486;7;145;1;0;0;0;5;19;No;0;0;10;38;12;13;13;51;48;49;No;No
Pierrick Valdivia;31;186;France;Midfield;47500;2;68;0;0;0;1;8;0;37;3;0;0;0;9;0;Nîmes;01/01/2019;Ligue 1;12555;1;29;1;0;0;0;0;0;No;0;0;18;28;7;6;15;29;44;27;No;No
Pierrick Capelle;32;181;France;Midfield;1000000;24;1747;1;2;25;46;455;26;1052;27;13;2;0;147;0;Angers;01/01/2019;Ligue 1;9825;20;646;40;4;26;0;0;0;No;7;35;11;28;11;6;11;28;33;39;No;No
Pierre-Emerick Aubameyang;30;187;Gabon;Forward;56000000;36;3136;22;3;84;39;573;59;1248;14;20;20;0;125;0;Arsenal;01/01/2019;Premier League;47589;35;612;56;10;25;0;0;0;No;3;90;8;38;14;14;10;56;48;56;No;No
Pierre Lees-Melou;26;185;France;Midfield;8000000;26;2252;5;6;32;69;606;52;1565;38;33;1;0;213;0;Nice;01/01/2019;Ligue 1;19225;25;1025;61;8;30;0;0;0;No;5;53;5;28;11;8;9;41;38;41;No;No
Pierre Kunde;24;180;Cameroon;Midfield;6000000;28;1866;4;0;16;39;339;31;1276;26;11;0;0;261;0;Mainz 05;01/01/2019;Bundesliga;20694;22;795;31;4;42;0;0;0;No;6;38;13;34;11;4;19;44;65;37;No;No
Pierre Højbjerg;23;185;Denmark;Midfield;25000000;33;2752;0;1;25;90;633;63;2214;46;38;1;0;510;0;Southampton;01/01/2019;Premier League;23428;30;1413;64;5;41;0;0;0;;5;47;11;38;15;7;16;51;60;52;No;No
Pierluigi Gollini;24;194;Italy;Goalkeeper;13000000;33;2884;0;0;0;0;8;0;1037;0;8;0;0;185;78;Atalanta;01/01/2019;Serie A;11167;33;725;3;0;0;0;42;113;No;3;0;3;38;23;9;6;98;48;78;Yes;No
Phillipp Mwene;25;170;Austria;Defender;80000;4;315;0;0;6;15;61;13;205;3;3;1;0;37;0;Mainz 05;01/01/2019;Bundesliga;20694;4;93;2;0;2;0;0;0;No;1;0;13;34;11;4;19;44;65;37;No;No
Philippe Coutinho;27;172;Brazil;Midfield;56000000;23;1411;8;6;18;28;235;14;1071;5;23;3;0;92;0;Bayern Munich;01/01/2019;Bundesliga;57353;15;709;79;12;45;1;0;0;No;0;56;1;34;26;4;4;100;32;82;Yes;No
Philipp Pentke;34;191;Germany;Goalkeeper;30000;4;360;0;0;0;0;2;0;179;0;1;0;0;33;16;Hoffenheim;01/01/2019;Bundesliga;20449;4;125;1;0;0;0;4;20;No;1;0;6;34;15;7;12;53;53;52;No;No
Philipp Max;25;177;Germany;Defender;13000000;31;2706;8;6;84;38;395;41;1680;13;17;4;0;253;0;Augsburg;01/01/2019;Bundesliga;20265;31;958;85;8;8;0;0;0;No;5;35;15;34;9;9;16;45;63;36;No;No
Philipp Lienhart;23;189;Austria;Defender;9000000;22;1817;0;1;3;19;103;29;1236;8;28;0;0;147;0;Freiburg;01/01/2019;Bundesliga;16888;20;891;8;2;3;0;0;0;No;3;7;8;34;13;9;12;48;47;48;No;No
Philipp Bargfrede;30;174;Germany;Midfield;1000000;15;586;0;0;1;19;139;7;345;15;10;0;0;78;0;Werder Bremen;01/01/2019;Bundesliga;26413;6;204;5;1;6;0;0;0;;3;5;16;34;8;7;19;42;69;31;No;No
Philip Billing;23;193;Denmark;Midfield;14000000;34;2530;1;1;18;76;692;88;1631;38;23;2;0;322;0;Bournemouth;01/01/2019;Premier League;7745;29;878;45;4;20;0;0;0;No;8;34;18;38;9;7;22;40;65;34;No;No
Phil Jones;27;185;United Kingdom;Defender;7000000;2;135;0;0;1;4;18;1;116;3;1;0;0;19;0;Manchester Utd;01/01/2019;Premier League;57415;2;79;0;0;0;0;0;0;No;0;2;3;38;18;12;8;66;36;66;Yes;No
Phil Jagielka;36;180;United Kingdom;Defender;80000;6;244;0;0;1;6;26;9;117;1;4;0;0;27;0;Sheffield Utd;01/01/2019;Premier League;24370;2;59;0;0;0;0;0;0;No;0;0;9;38;14;12;12;39;39;54;No;No
Phil Foden;19;171;United Kingdom;Forward;27000000;23;901;5;2;22;16;253;9;628;12;13;1;0;61;0;Manchester City;01/01/2019;Premier League;37097;9;431;45;8;24;0;0;0;No;0;34;2;38;26;3;9;102;35;81;Yes;No
Peter Pekarik;32;177;Slovakia;Defender;800;9;769;0;0;16;14;92;24;524;7;6;0;0;79;0;Hertha BSC;01/01/2019;Bundesliga;37689;9;351;14;3;7;1;0;0;No;2;4;10;34;11;8;15;48;59;41;No;No
Peter Ankersen;28;180;Denmark;Defender;2000000;19;1063;0;1;17;10;151;29;726;9;12;1;0;73;0;Genoa;01/01/2019;Serie A;14016;11;501;21;1;12;0;0;0;No;2;14;17;38;10;9;19;47;73;39;No;No
Petar Skuletic;29;193;Serbia;Forward;500;5;106;0;0;0;3;20;1;46;3;4;0;0;8;0;Montpellier;01/01/2019;Ligue 1;14147;1;17;2;0;0;1;0;0;No;0;4;8;28;11;7;10;35;34;40;No;No
Pervis Estupiñán;21;175;Ecuador;Defender;6000000;36;2979;1;5;140;87;497;58;2256;42;39;4;0;368;0;Osasuna;01/01/2019;La Liga;11453;32;1322;76;10;63;0;0;0;No;8;18;10;38;13;13;12;46;54;52;No;No
Pere Pons;26;177;Spain;Midfield;3500000;30;1088;1;1;8;25;248;18;509;24;14;0;0;110;0;Alavés;01/01/2019;La Liga;12177;7;280;10;2;4;1;0;0;No;3;4;16;38;10;9;19;34;59;39;No;No
Percy Prado;23;175;Peru;Defender;30000;3;185;0;0;1;6;42;0;124;2;1;0;0;19;0;Nantes;01/01/2019;Ligue 1;24635;2;84;1;0;0;0;0;0;No;1;0;13;28;11;4;13;28;31;37;No;No
Per Ciljan Skjelbred;32;175;Norway;Midfield;1000000;24;1628;0;0;4;49;336;23;853;22;9;0;0;173;0;Hertha BSC;01/01/2019;Bundesliga;37689;21;597;17;2;9;0;0;0;No;4;1;10;34;11;8;15;48;59;41;No;No
Pepe Reina;36;188;Spain;Goalkeeper;65000;12;1080;0;0;0;0;4;0;427;1;4;0;0;51;32;Aston Villa;01/01/2019;Premier League;28505;12;272;2;1;0;0;20;50;No;1;0;17;38;9;8;21;41;67;35;No;No
Pepe Reina;36;188;Spain;Goalkeeper;65000;1;90;0;0;0;0;0;0;41;1;0;0;0;3;32;Milan;01/01/2019;Serie A;34078;1;27;0;0;0;0;20;50;No;0;0;6;38;19;9;10;63;46;66;No;No
Pedrosa;21;172;Spain;Defender;5000000;20;1087;1;0;22;23;222;31;674;10;18;2;1;95;0;Espanyol;01/01/2019;La Liga;16260;11;376;23;2;21;0;0;0;No;3;12;20;38;5;10;23;27;58;25;No;No
Pedro Porro;19;176;Spain;Defender;9000000;13;739;0;0;24;18;98;17;457;4;12;0;0;64;0;Valladolid;01/01/2019;La Liga;13580;7;239;8;1;10;0;0;0;;1;1;13;38;9;15;14;32;43;42;No;No
